repository,issues_analyzed,mean_days,std_dev_days,p25_days,median_days,p75_days,min_days,max_days,total_days,fast_resolutions
netresearch/usercentrics-widgets,39,42.4768,65.453,0.51,3.7267,79.3164,0.0005,193.4976,1656.5957,4
claudiabg-c/Harry-Potter-character-searcher-React,1,0.0018,0.0,0.0,0.0018,0.0018,0.0018,0.0018,0.0018,1
oscarmarina/blockquote-web-components,100,0.014,0.0616,0.0,0.0024,0.0037,0.0001,0.5695,1.4014,95
tanshuai/alphabiz,26,27.7182,41.062,0.91,11.6623,31.4678,0.0008,182.853,720.6743,3
MiguelRipoll23/tus-santander,386,1.6402,5.3739,0.0,0.0657,0.7501,0.0005,58.6613,633.1029,187
ebaauw/homebridge-deconz,243,14.4724,42.7177,0.42,2.7529,14.0133,0.002,521.0724,3516.8048,23
onigoetz/postcss-lightningcss,159,4.6328,15.0231,0.11,0.2684,1.9935,0.0013,137.6854,736.6183,12
bahmutov/test-rail-suite-example,78,16.0733,66.2199,0.1,0.1469,0.8109,0.0202,505.7423,1253.7142,2
dabby9734/intelligent-EMB,219,12.6282,52.2985,0.0,1.3679,7.0028,0.0,384.5951,2765.5816,102
Dafk2/app-geolocalizaci-n,1,0.0019,0.0,0.0,0.0019,0.0019,0.0019,0.0019,0.0019,1
typhonjs-fvtt-lib/standard,3,0.0004,0.0004,0.0,0.0001,0.0009,0.0001,0.0009,0.0011,3
cilium/cilium.io,582,21.4036,77.8202,0.04,0.8033,4.9944,0.0,699.934,12456.8792,142
aljazceru/awesome-nostr,536,2.4629,9.7914,0.09,0.6389,2.3894,0.0001,199.9734,1320.1246,105
Mattk70/Chirpity-Electron,203,11.4253,46.7714,0.07,0.9465,4.5524,0.0001,414.2923,2319.3404,40
TryGhost/Actions,22,104.2651,126.8028,0.14,37.68,252.449,0.0092,358.3088,2293.8329,5
atuannguyen/atuannguyen.github.io,1,0.0016,0.0,0.0,0.0016,0.0016,0.0016,0.0016,0.0016,1
massimocandela/dataflux,6,0.081,0.1778,0.0,0.0016,0.0026,0.0003,0.4785,0.4857,5
Tsuk1ko/wol-server,1,0.0002,0.0,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,1
pravee03/pravee03,8,0.0002,0.0003,0.0,0.0001,0.0002,0.0001,0.0011,0.0019,8
input-output-hk/essential-cardano-content,1521,3.8739,16.8202,0.0,0.0615,2.4379,0.0001,174.9075,5892.1445,737
Nerinyan/Nerinyan-WEB,46,1.7103,11.0758,0.0,0.0001,0.0001,0.0,75.9811,78.6738,43
GluuFederation/flex,1952,14.9048,52.216,0.07,0.9574,6.1475,0.0001,848.2595,29094.1506,359
pronamic/wp-pronamic-slider,1,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,1
RaccoonBoyG/catalog_courses_update,1,0.0002,0.0,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,1
JohanFalt/Foundry_WoD20,959,49.6641,126.2556,0.42,3.0016,34.7339,0.0,910.3182,47627.8438,119
kufu/eslint-plugin-smarthr,157,3.4887,6.8559,0.02,0.9226,3.8708,0.0001,45.1543,547.7278,44
xjlin0/attendees32,41,11.7222,29.0656,0.01,0.1089,3.9979,0.0004,117.9911,480.6109,18
secvisogram/csaf-validator-lib,207,15.7216,37.1021,0.04,1.5491,8.1502,0.0006,285.4291,3254.3805,55
microsoft/azdataGraph,192,26.7174,133.3658,0.0,0.0014,0.2951,0.0001,792.6768,5129.7362,130
jasminetai/slugplanners,3,0.0007,0.0002,0.0,0.0009,0.0009,0.0004,0.0009,0.0022,3
bahmutov/cypress-crawl-example,71,15.6444,67.3131,0.1,0.1466,0.8386,0.003,505.7547,1110.7498,1
drivet/website-11ty,250,3.1625,4.4832,0.35,1.4335,4.1182,0.0002,37.0431,790.6332,24
volcano-sh/dashboard,38,9.9138,11.0717,0.95,7.4143,9.8975,0.0018,39.4082,376.7262,4
bahmutov/find-cypress-specs,330,4.8496,50.2863,0.02,0.1208,0.191,0.0001,879.4127,1600.3798,94
koreaygj/koreaygj.github.io,3,60.3037,29.2857,18.9,80.2644,81.7502,18.8963,81.7502,180.911,0
bearbob/nimmersatt,2,27.4814,14.4858,13.0,41.9672,41.9672,12.9956,41.9672,54.9627,0
KappaML/kappaml.com,1,0.0082,0.0,0.01,0.0082,0.0082,0.0082,0.0082,0.0082,1
manav88/manav,2,0.0059,0.0057,0.0,0.0116,0.0116,0.0001,0.0116,0.0117,2
its-dlh/portfolio,3,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0003,3
epilot-dev/docs,62,9.3252,36.8085,0.0,0.0193,0.3082,0.0001,203.7359,578.1618,40
nime42/Bon,5,13.2687,9.1672,7.05,13.7513,19.2521,0.0004,26.2867,66.3433,1
EmmaMcCracken/portfolio,10,5.073,13.9914,0.0,0.0031,0.0335,0.0001,46.912,50.73,8
banuelosj/DevSummit-presentation,3,0.2436,0.3444,0.0,0.0001,0.7306,0.0001,0.7306,0.7308,2
FENAGH/fenagh,1,0.0114,0.0,0.01,0.0114,0.0114,0.0114,0.0114,0.0114,1
fdciabdul/Google-Trends-Keywords-Scraper,23,58.2405,79.2062,0.02,44.6621,55.0347,0.0004,275.2912,1339.5311,6
