repository,issues_analyzed,mean_days,std_dev_days,p25_days,median_days,p75_days,min_days,max_days,total_days,fast_resolutions
githublitao/api_automation_test,117,201.7635,280.0558,5.48,91.9145,267.1925,0.0001,1279.9415,23606.3279,22
liuxinqiong/reading-notes,1,170.3569,0.0,170.36,170.3569,170.3569,170.3569,170.3569,170.3569,0
nickschot/ember-mobile-menu,1127,20.734,93.4665,0.06,0.126,0.257,0.0001,2026.655,23367.1646,240
gkjohnson/three-mesh-bvh,657,61.3741,180.281,0.12,1.1871,14.0507,0.0001,1118.0419,40322.7744,125
nice-move/nice-move,175,8.8861,30.9114,0.0,0.0797,1.3123,0.0,199.1045,1555.0618,64
maproulette/maproulette3,2483,57.3522,198.3567,0.04,1.7851,15.4651,0.0001,2257.5218,142405.5648,644
TheGiddyLimit/homebrew,2397,7.8248,53.7346,0.16,0.8513,2.7942,0.0,975.0636,18756.1379,348
georgegillams/georgegillams.co.uk,1072,13.4266,52.1464,0.0,0.0431,3.8611,0.0,917.862,14393.3355,533
codeaholics/node-red-contrib-evohome,2,149.0832,146.115,2.97,295.1982,295.1982,2.9682,295.1982,298.1665,0
nick-less/webpack-compass-imagehelper,167,1.0771,1.8824,0.1,0.2706,1.1863,0.0009,12.0481,179.873,24
oclif/eslint-config-oclif,159,47.5843,127.772,0.38,1.8208,19.7891,0.0008,819.2925,7565.8964,13
miroshkin/miroshkin.github.io,12,19.7839,45.2941,0.0,0.0052,29.9152,0.0006,162.4719,237.4073,9
kisssdev/kis-jsdoc-plugin,19,91.645,133.6409,4.24,27.8362,129.9078,0.0007,531.0644,1741.2541,2
ayselafsar/dicomviewer,132,275.791,518.5292,0.75,15.6966,216.1593,0.0004,1976.909,36404.407,20
dhis2/user-app,1532,15.5256,64.326,0.05,0.1025,1.1134,0.0001,559.9591,23785.2679,287
scratchfoundation/scratch-svg-renderer,753,55.4443,168.4978,0.12,0.9215,12.6532,0.0001,1297.624,41749.5324,53
a-zen/simple-server,127,3.4645,7.0968,0.06,1.0278,4.0062,0.0009,66.5139,439.9938,30
qub-it/fenixedu-ulisboa-applications,4,7.5683,7.0563,4.05,7.226,18.9655,0.0356,18.9655,30.2731,1
liatrio/devops-bootcamp,632,19.8706,61.5849,0.02,0.8609,6.8527,0.0001,494.0023,12558.2092,194
scriptex/webpack-mpa,1020,1.5139,15.6748,0.15,0.3923,0.6559,0.0,427.1415,1544.1841,152
JaninaWibker/html_to_md,2,153.4444,142.6987,10.75,296.1431,296.1431,10.7456,296.1431,306.8887,0
DataDog/dd-trace-js,5119,38.9196,137.3948,0.14,1.6486,9.0321,0.0001,1766.0947,199229.4615,837
superhero/js.core,25,7.3173,14.2982,0.01,0.206,6.2313,0.0008,61.9149,182.9319,9
WazeDev/WME-GIS-Layers,57,33.6879,110.6632,0.07,0.694,2.8805,0.0001,743.7269,1920.213,13
entando/app-builder,1592,5.9294,28.3427,0.01,0.1861,2.0834,0.0,666.9638,9439.541,593
snowflakedb/snowflake-connector-nodejs,976,91.3345,248.6867,0.57,4.7173,34.8411,0.0001,1684.9282,89142.4968,120
dan-mba/dan-mba.github.io,906,1.077,3.075,0.84,0.9346,0.9769,0.0001,79.0523,975.8065,108
Kikobeats/xml-urls,120,3.2389,23.2227,0.05,0.2946,0.4014,0.0002,247.3558,388.6661,28
sprx97/OldTimeHockey,155,145.1855,243.7875,0.41,13.8559,241.1367,0.0002,1457.0725,22503.7581,27
graphql/graphql-over-http,301,61.5793,180.3899,0.04,0.5182,13.9867,0.0001,1017.4409,18535.3707,80
scbd/oasis.cbd.int,79,29.9168,107.1964,0.0,0.0089,0.9702,0.0001,571.8887,2363.4253,44
travi/cli,4202,1.2558,17.3369,0.01,0.078,0.1542,0.0,719.6238,5276.8204,1420
bvankat/nebrasketball,9,503.7179,227.5091,475.88,489.0457,719.3556,16.4744,744.4816,4533.4615,0
HeliumEdu/frontend,54,448.6585,882.7416,0.04,0.0905,9.9443,0.0005,2204.3885,24227.5599,15
mdefaux/forte-table,28,8.2087,17.2263,0.01,0.0885,5.3924,0.0003,61.6576,229.8426,9
chrisguttandin/broker-factory,246,0.7028,2.0327,0.05,0.16,0.3881,0.0012,14.8715,172.8996,42
