project,numberOfIssuesRelatedToConsistentCode,numberOfIssuesRelatedToIntentionalCode,numberOfIssuesRelatedToAdaptableCode,numberOfIssuesRelatedToResponsibleCode,numberOfBugs,numberOfVulnerabilities,numberOfCodeSmells,numberOfIssuesRelatedToMaintainability,numberOfIssuesRelatedToReliability,numberOfIssuesRelatedToSecurity,numberOfIssuesWithLowSeverity,numberOfIssuesWithMediumSeverity,numberOfIssuesWithHighSeverity,totalTimeNeededToRemoveDebts
Otee,1,43,1,0,3,0,42,0,0,0,0,0,0,3h40min
oscnews,69,31,0,0,9,0,91,0,0,0,0,0,0,8h3min
passport,14,7,10,0,4,0,27,0,0,0,0,0,0,4h48min
passing-notes,1,3,0,0,0,0,4,0,0,0,0,0,0,20min
personal_website,0,13,0,0,2,0,11,0,0,0,0,0,0,27min
pixi-shim,0,3,0,0,0,0,3,0,0,0,0,0,0,15min
Pool,0,1,0,0,0,0,1,0,0,0,0,0,0,5min
portfolio,32,66,2,0,10,0,90,0,0,0,0,0,0,8h39min
portal,64,28,8,0,3,0,97,0,0,0,0,0,0,9h55min
prepply,6,37,0,0,1,0,42,0,0,0,0,0,0,2h52min
prerender-alpine,1,0,0,0,0,0,1,0,0,0,0,0,0,5min
puerto-rico-scoresheet,11,11,0,0,4,0,18,0,0,0,0,0,0,1h37min
random-word-wikipedia,0,6,0,0,0,0,6,0,0,0,0,0,0,18min
quanthub,4,26,14,0,1,0,43,0,0,0,0,0,0,6h1min
RCGame.github.io,6,94,0,0,8,0,92,0,0,0,0,0,0,7h39min
react-badly,0,9,0,0,0,0,9,0,0,0,0,0,0,41min
react-file-icon,0,7,0,0,1,0,6,0,0,0,0,0,0,32min
remote,8,34,1,0,13,0,30,0,0,0,0,0,0,3h31min
reneghosh.github.io,15,84,0,1,15,1,84,0,0,0,0,0,0,7h38min
react_playground,52,40,8,0,8,0,92,0,0,0,0,0,0,8h56min
robinaone.github.io,17,80,3,0,8,0,92,0,0,0,0,0,0,7h22min
romanesco-theme,0,59,1,0,0,0,60,0,0,0,0,0,0,6h21min
rifat-hossain.github.io,0,99,1,0,45,0,55,0,0,0,0,0,0,5h31min
safe-to-swim,10,90,0,0,1,0,99,0,0,0,0,0,0,9h7min
salesforce-jwt-bearer-token-flow,0,2,0,0,1,0,1,0,0,0,0,0,0,6min
SampleAPIs,0,35,0,0,0,0,35,0,0,0,0,0,0,2h55min
schematics-angular-builds,33,36,5,0,0,0,74,0,0,0,0,0,0,5h35min
scratch-svg-renderer,8,20,5,0,4,0,29,0,0,0,0,0,0,3h55min
ShayanPersonal.github.io,2,73,0,0,2,0,73,0,0,0,0,0,0,6h16min
simple-server,0,3,0,0,0,0,3,0,0,0,0,0,0,15min
site-settings-seo,89,11,0,0,1,0,99,0,0,0,0,0,0,7h56min
shruti3101.github.io,5,95,0,0,8,0,92,0,0,0,0,0,0,8h16min
sitefolio,2,20,0,0,3,0,19,0,0,0,0,0,0,1h31min
sm-crypto,18,21,0,0,9,0,30,0,0,0,0,0,0,5h34min
smerge,19,77,3,1,3,1,96,0,0,0,0,0,0,7h43min
snowstorm,1,7,1,0,4,0,5,0,0,0,0,0,0,39min
PLXK,72,23,5,0,0,0,100,0,0,0,0,0,0,8h38min
snowflake-connector-nodejs,0,100,0,0,1,0,99,0,0,0,0,0,0,8h6min
sonnen-dashboard,14,28,2,0,4,0,40,0,0,0,0,0,0,4h1min
soundTest,6,21,0,0,2,0,25,0,0,0,0,0,0,2h34min
spoof-timezone,2,97,1,0,2,0,98,0,0,0,0,0,0,8h10min
sprinter-turtle,4,6,4,0,4,0,10,0,0,0,0,0,0,1h39min
ssl-express-www,0,8,4,0,0,0,12,0,0,0,0,0,0,1h20min
SoftUniPractice,12,82,6,0,12,0,88,0,0,0,0,0,0,9h4min
stanlee12.github.io,6,89,5,0,12,0,88,0,0,0,0,0,0,9h8min
startpage,21,77,2,0,13,0,87,0,0,0,0,0,0,9h49min
static-project,19,29,0,0,23,0,25,0,0,0,0,0,0,5h28min
sticky-events,9,12,0,0,0,0,21,0,0,0,0,0,0,2h10min
stills,0,3,2,0,1,0,4,0,0,0,0,0,0,1h2min
starrynightzyq.github.io,5,95,0,0,10,0,90,0,0,0,0,0,0,6h52min
stuart,1,9,2,0,0,0,12,0,0,0,0,0,0,1h18min
stellarguard,7,93,0,0,0,0,100,0,0,0,0,0,0,7h36min
streetlives-api,1,10,0,0,0,0,11,0,0,0,0,0,0,40min
stats-of-the-storm,3,69,28,0,1,0,99,0,0,0,0,0,0,14h40min
SubscriptionsWeb,7,83,0,0,3,0,87,0,0,0,0,0,0,14h22min
surveyjs-wordpress,58,31,11,0,21,0,79,0,0,0,0,0,0,4h4min
study-collections,6,92,2,0,3,0,97,0,0,0,0,0,0,10h42min
svenenwouter2,0,99,1,0,7,0,93,0,0,0,0,0,0,7h29min
svn-repository-provider,0,2,0,0,0,0,2,0,0,0,0,0,0,2min
TCDI,0,1,0,0,0,0,1,0,0,0,0,0,0,1min
TcNo-Steam-Card-Assistant,2,75,0,0,7,0,70,0,0,0,0,0,0,7h24min
telegraf-metrix-node,0,37,1,0,4,0,34,0,0,0,0,0,0,4h57min
three-mesh-bvh,4,43,11,0,3,0,55,0,0,0,0,0,0,6h8min
trial-bot,1,0,0,0,0,0,1,0,0,0,0,0,0,15min
ThunderSite,13,87,0,0,7,0,93,0,0,0,0,0,0,10h39min
trkern.github.io,2,97,1,0,19,0,81,0,0,0,0,0,0,7h17min
TweetTest,1,98,1,0,6,0,94,0,0,0,0,0,0,7h29min
unimail,3,48,16,0,0,0,67,0,0,0,0,0,0,10h20min
upVotePlugin,4,23,0,0,10,0,17,0,0,0,0,0,0,2h
urdf-loaders,10,48,19,0,4,0,73,0,0,0,0,0,0,8h20min
userscripts,2,25,0,0,1,0,26,0,0,0,0,0,0,2h5min
videomost,2,2,0,0,1,0,3,0,0,0,0,0,0,12min
user-app,22,50,10,0,2,0,80,0,0,0,0,0,0,8h41min
vignere-babbage-cipher,0,2,0,0,0,0,2,0,0,0,0,0,0,10min
vip-cli,8,22,3,0,1,0,32,0,0,0,0,0,0,3h3min
vue-nutrition-label,2,13,0,0,1,0,14,0,0,0,0,0,0,1h12min
vue-mta-activity,5,19,0,0,3,0,21,0,0,0,0,0,0,1h44min
vue-signature-pad,0,1,0,0,0,0,1,0,0,0,0,0,0,5min
webComps,5,18,6,0,6,0,23,0,0,0,0,0,0,4h7min
webpack-bugsnag-plugins,7,1,4,0,0,0,12,0,0,0,0,0,0,1h55min
wdio-docker-service,0,2,60,0,1,0,61,0,0,0,0,0,0,20h10min
webpack-compass-imagehelper,3,27,0,0,0,0,30,0,0,0,0,0,0,2h40min
webpack-mpa,2,1,0,0,0,0,3,0,0,0,0,0,0,12min
website,8,36,1,0,5,0,40,0,0,0,0,0,0,2h43min
wai-website-theme,18,75,7,0,12,0,88,0,0,0,0,0,0,13h1min
wikipedia-viewer-reactjs,6,5,0,0,2,0,9,0,0,0,0,0,0,1h
worker-factory,0,8,29,0,0,0,37,0,0,0,0,0,0,9h25min
WME-GIS-Layers,7,55,16,0,2,0,76,0,0,0,0,0,0,12h45min
yid,1,2,0,0,0,0,3,0,0,0,0,0,0,25min
website-source,1,97,2,0,0,0,100,0,0,0,0,0,0,8h43min
zigbee-adapter,1,37,19,0,1,0,56,0,0,0,0,0,0,9h
zuhthebeg.github.com,5,94,1,0,4,0,96,0,0,0,0,0,0,6h35min
