projectName,criticalSeverityCount,highSeverityCount,mediumSeverityCount,lowSeverityCount,totalVulnerabilities,numberOfIssuesRelatedToConsistentCode,numberOfIssuesRelatedToIntentionalCode,numberOfIssuesRelatedToAdaptableCode,numberOfIssuesRelatedToResponsibleCode,numberOfBugs,numberOfCodeSmells,full_name,html_url,description,language,created_at,updated_at,pushed_at,stargazers_count,forks_count,open_issues_count,license,topics,totalTimeNeededToRemoveDebts_mins
fredy,0,0,0,0,0,0,4,8,0,3,9,orangecoding/fredy,https://github.com/orangecoding/fredy,":heart:  Fredy - [F]ind [R]eal [E]states [D]amn Eas[y] - Fredy will constantly search for new listings on sites like Immoscout or Immowelt and send new results to you, so that you can focus on more important things in life ;)",JavaScript,2018-01-15T07:39:00Z,2025-03-03T12:53:24Z,2025-02-23T16:15:44Z,258,66,0,MIT License,"['apartment', 'finder', 'flat', 'fredy', 'germany', 'immoscout', 'immowelt', 'mailjet', 'notification', 'realrestate', 'scraper', 'sendgrid', 'slack', 'telegram']",180
frontend,20,91,83,3,197,4,96,0,0,60,40,HeliumEdu/frontend,https://github.com/HeliumEdu/frontend,Fontend of Helium's planner application,JavaScript,2018-01-02T22:22:41Z,2025-03-13T16:46:24Z,2025-03-13T16:46:21Z,1,0,1,MIT License,"['calendar', 'docker', 'education', 'frontend', 'javascript', 'jquery', 'nodejs', 'planner', 'student', 'webpack']",165
fsttheme,0,0,0,0,0,7,42,0,0,7,42,bftv/fsttheme,https://github.com/bftv/fsttheme,,JavaScript,2018-01-12T19:00:17Z,2025-02-11T17:52:47Z,2025-02-11T17:52:43Z,0,0,0,,[],223
functional-data-grid,0,0,0,0,0,48,48,4,0,20,80,energydrink9/functional-data-grid,https://github.com/energydrink9/functional-data-grid,Data grids in functional style with React [DISCONTINUED],JavaScript,2018-01-08T14:51:36Z,2025-02-14T04:52:09Z,2025-02-14T04:51:27Z,131,13,25,MIT License,"['data-grid', 'datagrid', 'excel', 'functional-programming', 'grid', 'grouping', 'locked-columns', 'react', 'react-grid', 'reactjs', 'resizable', 'rich-data-grids', 'spreadsheet', 'variable-rows-height', 'virtual-scroll']",535
gauravagarwalr.com,45,146,108,4,303,38,4,0,0,0,42,algogrit/gauravagarwalr.com,https://github.com/algogrit/gauravagarwalr.com,Resume and Portfolio Site,JavaScript,2018-01-15T08:59:12Z,2025-03-07T06:03:08Z,2025-03-07T06:03:54Z,1,0,0,MIT License,"['portfolio', 'resume', 'skills']",205
gomoku,0,0,0,0,0,0,72,1,0,1,72,korbinZhang/gomoku,https://github.com/korbinZhang/gomoku,Five in a Row,JavaScript,2018-01-05T03:26:36Z,2025-02-15T02:03:05Z,2025-02-15T01:54:52Z,1,0,0,,[],646
graphql-dotnet.github.io,0,0,0,0,0,8,92,0,0,9,91,graphql-dotnet/graphql-dotnet.github.io,https://github.com/graphql-dotnet/graphql-dotnet.github.io,Documentation,JavaScript,2018-01-06T00:19:13Z,2025-03-08T15:25:58Z,2025-03-08T15:25:55Z,2,6,1,,[],265
group-sms,0,0,0,0,0,1,2,1,0,0,4,scott113341/group-sms,https://github.com/scott113341/group-sms,,JavaScript,2018-01-08T17:58:39Z,2025-02-13T23:17:03Z,2025-02-13T23:17:01Z,0,1,0,,[],48
grunt-simple-nyc,14,40,19,2,75,0,1,0,0,0,1,tandrewnichols/grunt-simple-nyc,https://github.com/tandrewnichols/grunt-simple-nyc,A grunt wrapper for nyc,JavaScript,2018-01-24T22:06:32Z,2025-02-22T22:16:35Z,2025-02-22T22:16:33Z,0,1,0,MIT License,[],5
hapi-pg-rest-api,15,37,19,3,74,10,53,0,0,11,52,DEFRA/hapi-pg-rest-api,https://github.com/DEFRA/hapi-pg-rest-api,Generates a REST API connected to a PostgreSQL database table for use in a HAPI application,JavaScript,2018-01-10T15:13:01Z,2025-03-11T21:53:28Z,2025-03-11T21:53:24Z,4,1,0,Other,[],352
hegyhati.github.io,0,0,0,0,0,6,26,0,0,4,28,hegyhati/hegyhati.github.io,https://github.com/hegyhati/hegyhati.github.io,,JavaScript,2018-01-30T12:34:24Z,2025-02-20T22:55:04Z,2025-02-20T22:55:00Z,0,0,0,,[],163
HeliosLauncher,12,51,46,4,113,19,59,22,0,31,69,dscalzi/HeliosLauncher,https://github.com/dscalzi/HeliosLauncher,☀ Custom launcher for modded minecraft written in Electron and Node.js,JavaScript,2018-01-25T01:58:30Z,2025-03-16T05:08:43Z,2025-03-09T18:11:48Z,891,1829,39,MIT License,"['custom-minecraft-launcher', 'electron', 'fabric', 'forge', 'minecraft', 'minecraft-launcher']",735
hello-world,0,0,0,0,0,5,92,3,0,1,99,johnluffa/hello-world,https://github.com/johnluffa/hello-world,Test ,JavaScript,2018-01-15T18:17:38Z,2025-02-20T15:46:15Z,2025-02-20T15:46:11Z,1,0,0,,[],527
hexChess,0,0,0,0,0,14,85,1,0,0,100,gddickinson/hexChess,https://github.com/gddickinson/hexChess,javascript hexagonal chess board,JavaScript,2018-01-31T00:16:29Z,2025-02-25T17:58:02Z,2025-02-25T17:57:59Z,1,0,0,,[],554
highcharts-utils,16,77,53,3,149,4,93,3,0,2,98,highcharts/highcharts-utils,https://github.com/highcharts/highcharts-utils,,JavaScript,2018-01-02T13:48:42Z,2025-03-13T06:28:44Z,2025-03-13T06:28:40Z,5,9,8,,[],573
homebrew,0,2,0,0,2,0,3,0,0,0,3,TheGiddyLimit/homebrew,https://github.com/TheGiddyLimit/homebrew,Homebrew JSONs compatible with 5etools.,JavaScript,2018-01-12T09:25:52Z,2025-03-17T09:35:16Z,2025-03-16T21:17:18Z,283,618,13,,[],15
hopperrr.github.io,0,0,0,0,0,13,84,3,0,2,98,hopperrr/hopperrr.github.io,https://github.com/hopperrr/hopperrr.github.io,,JavaScript,2018-01-19T22:14:37Z,2025-02-20T23:26:16Z,2025-02-20T23:26:13Z,0,0,1,Other,[],613
